PLAYER,CAP HIT
Aaron Gordon,19863636
Aaron Holiday,2239200
Abdel Nader,1618520
Al Horford,30123014
Alex Len,4160000
Alfonzo McKinnie,1416852
Alize Johnson,1416852
Allen Crabbe,18500000
Andre Drummond,2793019
Andre Iguodala,17185185
Andre Roberson,10740740
Andrew Wiggins,27504630
Anfernee Simons,2149560
Ante Zizic,2281800
Anthony Davis,2793019
Antonio Blakeney,1588231
Aron Baynes,5453280
Avery Bradley,12960000
Bam Adebayo,3454080
Ben Simmons,8113930
Bismack Biyombo,170000
Blake Griffin,34449964
Bogdan Bogdanovic,8529386
Bradley Beal,2793019
Brandon Ingram,7265485
Brandon Knight,15643750
Bruce Brown,1416852
Bryn Forbes,2875000
Buddy Hield,4861208
Caleb Swanigan,233160
Caris LeVert,2625718
Cedi Osman,2907143
Chandler Hutchison,2332320
Chandler Parsons,25102511
Channing Frye,1618486
Chimezie Metu,1416852
Chris Paul,38506482
Christian Wood,1645357
CJ McCollum,27556959
CJ Miles,8730159
Clint Capela,16396552
Cody Zeller,14471910
Collin Sexton,4764960
Courtney Lee,12759670
Cristiano Felicio,8156500
D.J. Augustin,7250000
Damian Jones,2305057
Damian Lillard,29802321
Damyean Dotson,1618520
Danilo Gallinari,22615559
Dante Exum,9600000
Dario Saric,3481986
Davis Bertans,70000
De'Aaron Fox,6392760
Deandre Ayton,9562920
DeAndre' Bembry,2603982
De'Anthony Melton,1416852
Dejounte Murray,2321735
DeMar DeRozan,27739975
Dennis Schroder,15500000
Dennis Smith Jr.,4463640
Denzel Valentine,3377569
Derrick Favors,16900000
Derrick Jones Jr.,1645357
Derrick White,1948080
Devin Booker,27250000
Devonte' Graham,1416852
Dillon Brooks,1618520
Dion Waiters,12100000
DJ Wilson,2961120
Domantas Sabonis,3529555
Donovan Mitchell,3635760
Donte DiVincenzo,2905800
Doug McDermott,7333333
Draymond Green,18539130
Dwayne Bacon,1618520
Dwight Howard,5603850
Dwight Powell,10259375
Dzanan Musa,1911600
Elie Okobo,1416852
Eric Gordon,1457730
Ersan Ilyasova,70000
E'Twaun Moore,8664928
Evan Fournier,170000
Evan Turner,18606557
Frank Jackson,1618520
Frank Mason,1618520
Frank Ntilikina,4855800
Fred VanVleet,9456163
Gary Harris,17839286
Gary Trent Jr.,1416852
George Hill,180000
Georges Niang,1645357
Giannis Antetokounmpo,25842697
Glenn Robinson III,4278750
Goran Dragic,19217900
Gordon Hayward,32700690
Gorgui Dieng,16229213
Grayson Allen,2429400
Guerschon Yabusele,3117240
Hamidou Diallo,1416852
Harrison Barnes,25102513
Harry Giles III,2578800
Hassan Whiteside,2793019
Ian Mahinmi,15450051
Ike Anigbogu,1618520
Isaac Bonga,1416852
Isaiah Briscoe,1416852
Isaiah Hartenstein,1416852
Ivan Rabb,1618520
Jabari Bird,1588231
Jabari Parker,200000
Jacob Evans,1925880
Jae Crowder,7815533
Jahlil Okafor,1702486
Jakob Poeltl,3754886
Jalen Brunson,1416852
Jamal Murray,4444746
James Ennis III,1845301
James Harden,37800000
James Johnson,15349400
James Nunnally,1588231
Jaren Jackson Jr.,6927480
Jarred Vanderbilt,1416852
Jarrett Allen,2376840
Jaylen Brown,6534829
Jayson Tatum,7830000
Jeff Teague,190000
Jerami Grant,9346153
Jerome Robinson,3567720
Jevon Carter,1416852
Jimmy Butler,19841627
Joe Harris,7666667
Joe Ingles,11954546
Joel Embiid,27504630
John Collins,2686560
John Henson,10482396
John Wall,37800000
Jon Leuer,9508043
Jonah Bolden,1698450
Jonas Valanciunas,17617978
Jonathan Isaac,5806440
Jonathon Simmons,5700000
Jordan Clarkson,13437500
Josh Hart,1934160
Josh Jackson,759480
Josh Okogie,2530680
Josh Richardson,10116576
JR Smith,15680000
Jrue Holiday,26711111
Juancho Hernangomez,3321030
Julius Randle,973050
Justin Jackson,3280920
Justise Winslow,130000
Jusuf Nurkic,120000
Karl-Anthony Towns,27250000
Kawhi Leonard,21329750
Keita Bates-Diop,1416852
Kelly Olynyk,1367886
Kenrich Williams,1443842
Kent Bazemore,19269662
Kevin Durant,31500000
Kevin Huerter,2636280
Kevin Knox,4380120
Kevin Love,28942830
Khris Middleton,130000
Khyri Thomas,1416852
Kris Dunn,5348007
Kyle Anderson,973050
Kyle Korver,7500000
Kyle Kuzma,1974600
Kyle Lowry,33496296
Kyrie Irving,21329750
LaMarcus Aldridge,260000
Lance Thomas,7583975
Landry Shamet,1995120
Langston Galloway,7333333
Larry Nance Jr.,12727273
Lauri Markkanen,5300400
LeBron James,37436858
Lonnie Walker IV,2760480
Lonzo Ball,8719320
Lou Williams,80000
Luka Doncic,7683360
Luke Kennard,3827160
Malik Beasley,2731714
Malik Monk,428400
Marc Gasol,25595700
Marco Belinelli,5846154
Marcus Smart,12553471
Markelle Fultz,9745200
Marvin Bagley III,8556120
Marvin Williams,156250
Mason Plumlee,1441096
Matthew Dellavedova,9607500
Maurice Harkless,11511236
Melvin Frazier Jr.,1416852
Meyers Leonard,11286517
Michael Kidd-Gilchrist,130000
Michael Porter Jr.,3389400
Mikal Bridges,4161000
Mike Conley,32511623
Miles Bridges,3755400
Miles Plumlee,12500000
Mitchell Robinson,1559712
Mo Bamba,5697600
Monte Morris,1588231
Montrezl Harrell,60000
Moritz Wagner,263520
Myles Turner,180000
Nemanja Bjelica,6825000
Nene Hilario,3825360
Nerlens Noel,1988119
Nicolas Batum,25565217
Nikola Jokic,26573595
Norman Powell,10116576
OG Anunoby,2281800
Omari Spellman,1897800
Otto Porter Jr.,27250575
Pascal Siakam,2351839
Pat Connaughton,1723050
Patrick Patterson,5711200
Patty Mills,13285714
Pau Gasol,160000
Paul George,335556
Paul Millsap,300000
PJ Tucker,8349039
Raul Neto,2150000
Ray Spalding,1416852
Reggie Jackson,1886957
Robert Covington,11301219
Robert Williams III,1937520
Rodions Kurucs,1699236
Royce O'Neale,1618520
Rudy Gobert,258427
Russell Westbrook,38506482
Ryan Anderson,21264637
Ryan Broekhoff,1416852
Semi Ojeleye,1618520
Serge Ibaka,23271605
Shabazz Napier,1845301
Shai Gilgeous-Alexander,3952920
Shaquille Harrison,1588231
Shaun Livingston,7692308
Sindarius Thornwell,1618520
Skal Labissiere,2338847
Solomon Hill,12758781
Stephen Curry,40231758
Sterling Brown,1618520
Steven Adams,25842697
Svi Mykhailiuk,1416852
T.J. Warren,10810000
Taurean Prince,3481986
Terrance Ferguson,2475840
Thon Maker,3569643
Tim Hardaway Jr.,18150000
Timofey Mozgov,16720000
Timothe Luwawu-Cabarrot,2529684
TJ Leaf,2813280
Tony Bradley,1962360
Tony Parker,5250000
Tony Snell,11392857
Torrey Craig,20000
Trae Young,6273000
Treveon Graham,1645357
Tristan Thompson,18539130
Troy Brown Jr.,3219480
Tyler Johnson,19245370
Tyrone Wallace,1588231
Victor Oladipo,210000
Wendell Carter Jr.,5201400
Wes Iwundu,1618520
Will Barton,12776786
Willy Hernangomez,1676700
Yogi Ferrell,3150000
Zach Collins,4240200
Zach LaVine,19500000
Zhaire Smith,358800
Zhou Qi,1618520
